County,Population
Minnehaha,183660.00
Pennington,108126.00
Lincoln,53147.00
Brown,38637.00
Brookings,33697.00
Codington,27963.00
Meade,27066.00
Lawrence,25018.00
Yankton,22660.00
Davison,19753.00
Beadle,18163.00
Hughes,17572.00
Union,14929.00
Oglala Lakota,14291.00
Clay,13907.00
Lake,12350.00
Roberts,10250.00
Butte,10194.00
Todd,10016.00
Charles Mix,9319.00
Custer,8519.00
Turner,8242.00
Hutchinson,7277.00
Grant,7133.00
Bon Homme,6972.00
Fall River,6783.00
Moody,6496.00
Spink,6478.00
Hamlin,5911.00
Dewey,5709.00
Day,5524.00
McCook,5515.00
Walworth,5502.00
Tripp,5480.00
Brule,5280.00
Kingsbury,5000.00
Marshall,4759.00
Deuel,4282.00
Gregory,4209.00
Corson,4177.00
Edmunds,3971.00
Lyman,3882.00
Clark,3642.00
Bennett,3440.00
Hanson,3404.00
Hand,3303.00
Jackson,3275.00
Stanley,2994.00
Perkins,2964.00
Douglas,2940.00
Ziebach,2837.00
Aurora,2739.00
Sanborn and McPherson,2366.00
Faulk,2327.00
Potter,2318.00
Miner,2255.00
Haakon,2084.00
Mellette,2062.00
Buffalo,2048.00
Jerauld,2034.00
Campbell,1443.00
Sully,1390.00
Hyde,1373.00
Harding,1281.00
Jones,740.00